Type,ID,SKU/SELECTION,NAME/DESCRIPTION,UNIT,QYT,Brands,Attribute 1 value(s),PRICE,WHOLESALE PRICE,VAT  TYPE,DISC %,DISCOUNT,EXCLUSIVE,VAT,TOTAL,Description ( WEBSITE ),Categories
simple,31886-8,55M-Y-8,Seamless Knitwrist Liner TaeKi5 seamless Heat & Cut gloves Dromex - Size 8,,,Dromex,Size: 8,R 33.00,R 32.00,,,,,,,"TaeKi5 seamless Heat & Cut gloves, Size: 7 | 8 | 9 | 10 by Dromex","Workwear & PPE > Gloves, Workwear & PPE"
simple,31886-9,55M-Y-9,Seamless Knitwrist Liner TaeKi5 seamless Heat & Cut gloves Dromex - Size 9,,,Dromex,Size: 9,R 33.00,R 32.00,,,,,,,"TaeKi5 seamless Heat & Cut gloves, Size: 7 | 8 | 9 | 10 by Dromex","Workwear & PPE > Gloves, Workwear & PPE"
simple,31886-10,55M-Y-10,Seamless Knitwrist Liner TaeKi5 seamless Heat & Cut gloves Dromex - Size 10,,,Dromex,Size: 10,R 33.00,R 32.00,,,,,,,"TaeKi5 seamless Heat & Cut gloves, Size: 7 | 8 | 9 | 10 by Dromex","Workwear & PPE > Gloves, Workwear & PPE"
simple,31888-8,59YSP-8,Seamless Knitwrist Liner with Crinkle Rubber Palm Coating TaeKi5 Super LATEX Grip & Cut Resistant Glove Dromex - Size 8,,,Dromex,Size: 8,R 60.00,R 58.00,,,,,,,"Seamless Knitwrist Liner with Crinkle Rubber Palm Coating TaeKi5 Super LATEX Grip & Cut Resistant Glove Dromex  - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31888-9,59YSP-9,Seamless Knitwrist Liner with Crinkle Rubber Palm Coating TaeKi5 Super LATEX Grip & Cut Resistant Glove Dromex - Size 9,,,Dromex,Size: 9,R 60.00,R 58.00,,,,,,,"Seamless Knitwrist Liner with Crinkle Rubber Palm Coating TaeKi5 Super LATEX Grip & Cut Resistant Glove Dromex  - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31888-10,59YSP-10,Seamless Knitwrist Liner with Crinkle Rubber Palm Coating TaeKi5 Super LATEX Grip & Cut Resistant Glove Dromex - Size 10,,,Dromex,Size: 10,R 60.00,R 58.00,,,,,,,"Seamless Knitwrist Liner with Crinkle Rubber Palm Coating TaeKi5 Super LATEX Grip & Cut Resistant Glove Dromex  - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31888-11,59YSP-11,Seamless Knitwrist Liner with Crinkle Rubber Palm Coating TaeKi5 Super LATEX Grip & Cut Resistant Glove Dromex - Size 11,,,Dromex,Size: 11,R 60.00,R 58.00,,,,,,,"Seamless Knitwrist Liner with Crinkle Rubber Palm Coating TaeKi5 Super LATEX Grip & Cut Resistant Glove Dromex  - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31890-9,58SC-9,"Seamless HIVIZ Liner Safet Cut with Nitirle Coating Taeki5 HI VIZ Nitrile coated, safety cuff glove Dromex - Size 9",,,Dromex,Size: 9,R 60.00,R 58.00,,,,,,,"Taeki5 HI VIZ Nitrile coated, safety cuff glove, Size: 9 | 10 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31890-10,58SC-10,"Seamless HIVIZ Liner Safet Cut with Nitirle Coating Taeki5 HI VIZ Nitrile coated, safety cuff glove Dromex - Size 10",,,Dromex,Size: 10,R 60.00,R 58.00,,,,,,,"Taeki5 HI VIZ Nitrile coated, safety cuff glove, Size: 9 | 10 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31892,57H201B-10,"Seamless Liner, Safety Cuff with Nitrile Coating TaeKi5 NAVY ROUGH coated NITRILE, safety cuff Dromex",,,Dromex,Size: 10,R 157.00,R 151.00,,,,,,,"TaeKi5 NAVY ROUGH coated NITRILE, safety cuff, Size: 10 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31894-8,57H201PLUS-8,"Seamless Composite Liner, Elbow Length with Nitirle Chemical Coating TaeKi5 Heat & Cut, glove with HCT Dromex - Size 8",,,Dromex,Size: 8,R 200.00,R 193.00,,,,,,,"TaeKi5 Heat & Cut, CHEMICAL glove with HCT, Size: 8 | 9 | 10 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31894-9,57H201PLUS-9,"Seamless Composite Liner, Elbow Length with Nitirle Chemical Coating TaeKi5 Heat & Cut, glove with HCT Dromex - Size 9",,,Dromex,Size: 9,R 200.00,R 193.00,,,,,,,"TaeKi5 Heat & Cut, CHEMICAL glove with HCT, Size: 8 | 9 | 10 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31894-10,57H201PLUS-10,"Seamless Composite Liner, Elbow Length with Nitirle Chemical Coating TaeKi5 Heat & Cut, glove with HCT Dromex - Size 10",,,Dromex,Size: 10,R 200.00,R 193.00,,,,,,,"TaeKi5 Heat & Cut, CHEMICAL glove with HCT, Size: 8 | 9 | 10 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31896-7,#57-7,"Seamless Liner, knitwrist with TaeKi5 Black Nitrile palm coated on Grey Dromex - Size 7",,,Dromex,Size: 7,R 51.00,R 50.00,,,,,,,"TaeKi5 Black Nitrile palm coated on Grey, Size: 7 | 8 | 9 | 10 | 11 | 12 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31896-8,#57-8,"Seamless Liner, knitwrist with TaeKi5 Black Nitrile palm coated on Grey Dromex - Size 8",,,Dromex,Size: 8,R 51.00,R 50.00,,,,,,,"TaeKi5 Black Nitrile palm coated on Grey, Size: 7 | 8 | 9 | 10 | 11 | 12 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31896-9,#57-9,"Seamless Liner, knitwrist with TaeKi5 Black Nitrile palm coated on Grey Dromex - Size 9",,,Dromex,Size: 9,R 51.00,R 50.00,,,,,,,"TaeKi5 Black Nitrile palm coated on Grey, Size: 7 | 8 | 9 | 10 | 11 | 12 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31896-10,#57-10,"Seamless Liner, knitwrist with TaeKi5 Black Nitrile palm coated on Grey Dromex - Size 10",,,Dromex,Size: 10,R 51.00,R 50.00,,,,,,,"TaeKi5 Black Nitrile palm coated on Grey, Size: 7 | 8 | 9 | 10 | 11 | 12 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31896-11,#57-11,"Seamless Liner, knitwrist with TaeKi5 Black Nitrile palm coated on Grey Dromex - Size 11",,,Dromex,Size: 11,R 51.00,R 50.00,,,,,,,"TaeKi5 Black Nitrile palm coated on Grey, Size: 7 | 8 | 9 | 10 | 11 | 12 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31896-12,#57-12,"Seamless Liner, knitwrist with TaeKi5 Black Nitrile palm coated on Grey Dromex - Size 12",,,Dromex,Size: 12,R 51.00,R 50.00,,,,,,,"TaeKi5 Black Nitrile palm coated on Grey, Size: 7 | 8 | 9 | 10 | 11 | 12 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31898-8-Camo,52J-8,"Seamless Camo Liner, knitwrist with PU Coating - Camoflage TaeKi5 Dromex - Size 8, Colour Camo",,,Dromex,"Size: 8
Colour: Camo",R 63.00,R 61.00,,,,,,,"TaeKi5 CAMO , Size: 8 | 9 | 10 | 11 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31898-9-Camo,52J-9,"Seamless Camo Liner, knitwrist with PU Coating - Camoflage TaeKi5 Dromex - Size 9, Colour Camo",,,Dromex,"Size: 9
Colour: Camo",R 63.00,R 61.00,,,,,,,"TaeKi5 CAMO , Size: 8 | 9 | 10 | 11 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31898-10-Camo,52J-10,"Seamless Camo Liner, knitwrist with PU Coating - Camoflage TaeKi5 Dromex - Size 10, Colour Camo",,,Dromex,"Size: 10
Colour: Camo",R 63.00,R 61.00,,,,,,,"TaeKi5 CAMO , Size: 8 | 9 | 10 | 11 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31898-11-Camo,52J-11,"Seamless Camo Liner, knitwrist with PU Coating - Camoflage TaeKi5 Dromex - Size 11, Colour Camo",,,Dromex,"Size: 11
Colour: Camo",R 63.00,R 61.00,,,,,,,"TaeKi5 CAMO , Size: 8 | 9 | 10 | 11 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31899-8,52LSTPV-8,"Seamless HIVIZ Liner, knitwrist with PU Coating and Neoprene Impact Guard TaeKi5 Heat & Cut, IMPACT glove with HCT Dromex - Size 8",,,Dromex,Size: 8,R 107.00,R 103.00,,,,,,,"TaeKi5 Heat & Cut, IMPACT glove with HCT, Size: 8 | 9 | 10 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31899-9,52LSTPV-9,"Seamless HIVIZ Liner, knitwrist with PU Coating and Neoprene Impact Guard TaeKi5 Heat & Cut, IMPACT glove with HCT Dromex - Size 9",,,Dromex,Size: 9,R 107.00,R 103.00,,,,,,,"TaeKi5 Heat & Cut, IMPACT glove with HCT, Size: 8 | 9 | 10 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31899-10,52LSTPV-10,"Seamless HIVIZ Liner, knitwrist with PU Coating and Neoprene Impact Guard TaeKi5 Heat & Cut, IMPACT glove with HCT Dromex - Size 10",,,Dromex,Size: 10,R 107.00,R 103.00,,,,,,,"TaeKi5 Heat & Cut, IMPACT glove with HCT, Size: 8 | 9 | 10 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31900-6,DG-HFM305-6,"13 Guage Cut Resistant Liner, Nitrile Foam Coating CUT C HFM305 CUT LEVEL C Dromex - Size 6",,,Dromex,Size: 6,R 72.00,R 69.00,,,,,,,"DROMEX HFM305 CUT LEVEL C-Size: 6 | 7 | 8 | 9 | 10 | 11 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31900-7,DG-HFM305-7,"13 Guage Cut Resistant Liner, Nitrile Foam Coating CUT C HFM305 CUT LEVEL C Dromex - Size 7",,,Dromex,Size: 7,R 72.00,R 69.00,,,,,,,"DROMEX HFM305 CUT LEVEL C-Size: 6 | 7 | 8 | 9 | 10 | 11 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31900-8,DG-HFM305-8,"13 Guage Cut Resistant Liner, Nitrile Foam Coating CUT C HFM305 CUT LEVEL C Dromex - Size 8",,,Dromex,Size: 8,R 72.00,R 69.00,,,,,,,"DROMEX HFM305 CUT LEVEL C-Size: 6 | 7 | 8 | 9 | 10 | 11 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31900-9,DG-HFM305-9,"13 Guage Cut Resistant Liner, Nitrile Foam Coating CUT C HFM305 CUT LEVEL C Dromex - Size 9",,,Dromex,Size: 9,R 72.00,R 69.00,,,,,,,"DROMEX HFM305 CUT LEVEL C-Size: 6 | 7 | 8 | 9 | 10 | 11 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31900-10,DG-HFM305-10,"13 Guage Cut Resistant Liner, Nitrile Foam Coating CUT C HFM305 CUT LEVEL C Dromex - Size 10",,,Dromex,Size: 10,R 72.00,R 69.00,,,,,,,"DROMEX HFM305 CUT LEVEL C-Size: 6 | 7 | 8 | 9 | 10 | 11 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31900-11,DG-HFM305-11,"13 Guage Cut Resistant Liner, Nitrile Foam Coating CUT C HFM305 CUT LEVEL C Dromex - Size 11",,,Dromex,Size: 11,R 72.00,R 69.00,,,,,,,"DROMEX HFM305 CUT LEVEL C-Size: 6 | 7 | 8 | 9 | 10 | 11 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31902-7,DG-HFM606-7,"Superior CUT Glove, Anti CUT Level 6 - EN388 CUT Level F Dromex - Size 7",,,Dromex,Size: 7,R 114.00,R 110.00,,,,,,,"DROMEX HFM 606 SUPERIOR CUT GLOVE, SIZE 7, 8, 9, 10 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31902-8,DG-HFM606-8,"Superior CUT Glove, Anti CUT Level 6 - EN388 CUT Level F Dromex - Size 8",,,Dromex,Size: 8,R 114.00,R 110.00,,,,,,,"DROMEX HFM 606 SUPERIOR CUT GLOVE, SIZE 7, 8, 9, 10 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31902-9,DG-HFM606-9,"Superior CUT Glove, Anti CUT Level 6 - EN388 CUT Level F Dromex - Size 9",,,Dromex,Size: 9,R 114.00,R 110.00,,,,,,,"DROMEX HFM 606 SUPERIOR CUT GLOVE, SIZE 7, 8, 9, 10 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31902-10,DG-HFM606-10,"Superior CUT Glove, Anti CUT Level 6 - EN388 CUT Level F Dromex - Size 10",,,Dromex,Size: 10,R 114.00,R 110.00,,,,,,,"DROMEX HFM 606 SUPERIOR CUT GLOVE, SIZE 7, 8, 9, 10 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31902-11,DG-HFM606-11,"Superior CUT Glove, Anti CUT Level 6 - EN388 CUT Level F Dromex - Size 11",,,Dromex,Size: 11,R 114.00,R 110.00,,,,,,,"DROMEX HFM 606 SUPERIOR CUT GLOVE, SIZE 7, 8, 9, 10 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31903-10,DG-OIL-TECH-10,"Oil-Tech Dura Grip Glove, Open Cuff Dromex - Size 10",,,Dromex,Size: 10,R 70.00,R 67.00,,,,,,,"DROMEX, Oil-Tech Glove, Size: 10, 11 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31903-11,DG-OIL-TECH-11,"Oil-Tech Dura Grip Glove, Open Cuff Dromex - Size 11",,,Dromex,Size: 11,R 70.00,R 67.00,,,,,,,"DROMEX, Oil-Tech Glove, Size: 10, 11 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31905-8,DG-OILTECH-KW-8,"Oil -Tech Dura Glove, knit wrist  Dromex - Size 8",,,Dromex,Size: 8,R 63.00,R 61.00,,,,,,,"DROMEX OIL-TECH DURA GRIP GLOVE, KNIT WRIST Size: 8 | 9 | 10 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31905-9,DG-OILTECH-KW-9,"Oil -Tech Dura Glove, knit wrist  Dromex - Size 9",,,Dromex,Size: 9,R 63.00,R 61.00,,,,,,,"DROMEX OIL-TECH DURA GRIP GLOVE, KNIT WRIST Size: 8 | 9 | 10 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31905-10,DG-OILTECH-KW-10,"Oil -Tech Dura Glove, knit wrist  Dromex - Size 10",,,Dromex,Size: 10,R 63.00,R 61.00,,,,,,,"DROMEX OIL-TECH DURA GRIP GLOVE, KNIT WRIST Size: 8 | 9 | 10 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31907-8,ULTICHEM-8,"Ultichem Nitrile Tripple Dipped, Non-slip, Waterproof Chemical Glove Dromex - Size 8",,,Dromex,Size: 8,R 83.00,R 80.00,,,,,,,"DROMEX Ultichem chemical glove, Size: 8 | 9 | 10 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31907-9,ULTICHEM-9,"Ultichem Nitrile Tripple Dipped, Non-slip, Waterproof Chemical Glove Dromex - Size 9",,,Dromex,Size: 9,R 83.00,R 80.00,,,,,,,"DROMEX Ultichem chemical glove, Size: 8 | 9 | 10 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31907-10,ULTICHEM-10,"Ultichem Nitrile Tripple Dipped, Non-slip, Waterproof Chemical Glove Dromex - Size 10",,,Dromex,Size: 10,R 83.00,R 80.00,,,,,,,"DROMEX Ultichem chemical glove, Size: 8 | 9 | 10 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31909-8,ULTICHEMPLUS-8,"Ultichem - Plus, Tripple Dipped CUT 3 Waterproof Chemical Glove Dromex - Size 8",,,Dromex,Size: 8,R 172.00,R 165.00,,,,,,,"DROMEX Ultichem-Plus,CUT 3 chemical glove, Size 8 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31909-9,ULTICHEMPLUS-9,"Ultichem - Plus, Tripple Dipped CUT 3 Waterproof Chemical Glove Dromex - Size 9",,,Dromex,Size: 9,R 172.00,R 165.00,,,,,,,"DROMEX Ultichem-Plus,CUT 3 chemical glove, Size 8 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31909-10,ULTICHEMPLUS-10,"Ultichem - Plus, Tripple Dipped CUT 3 Waterproof Chemical Glove Dromex - Size 10",,,Dromex,Size: 10,R 172.00,R 165.00,,,,,,,"DROMEX Ultichem-Plus,CUT 3 chemical glove, Size 8 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31911-6,0056-6,"Green Nitirle EN Approved Categpry III - Industrial Chemical Gloves EN388 & 372, Dromex - Size 6",,,Dromex,Size: 6,R 17.00,R 16.00,,,,,,,"DROMEX Green Nitrile gloves EN388 & 372, size 6 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31911-7,0056-7,"Green Nitirle EN Approved Categpry III - Industrial Chemical Gloves EN388 & 372, Dromex - Size 7",,,Dromex,Size: 7,R 17.00,R 16.00,,,,,,,"DROMEX Green Nitrile gloves EN388 & 372, size 6 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31911-8,0056-8,"Green Nitirle EN Approved Categpry III - Industrial Chemical Gloves EN388 & 372, Dromex - Size 8",,,Dromex,Size: 8,R 17.00,R 16.00,,,,,,,"DROMEX Green Nitrile gloves EN388 & 372, size 6 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31911-9,0056-9,"Green Nitirle EN Approved Categpry III - Industrial Chemical Gloves EN388 & 372, Dromex - Size 9",,,Dromex,Size: 9,R 17.00,R 16.00,,,,,,,"DROMEX Green Nitrile gloves EN388 & 372, size 6 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31911-10,0056-10,"Green Nitirle EN Approved Categpry III - Industrial Chemical Gloves EN388 & 372, Dromex - Size 10",,,Dromex,Size: 10,R 17.00,R 16.00,,,,,,,"DROMEX Green Nitrile gloves EN388 & 372, size 6 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31913-9,VIPER-9,"Category III chemical glove, Dromex - Size 9",,,Dromex,Size: 9,R 47.00,R 45.00,,,,,,,"DROMEX Category III chemical glove, Size 9 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
simple,31913-10,VIPER-10,"Category III chemical glove, Dromex - Size 10",,,Dromex,Size: 10,R 47.00,R 45.00,,,,,,,"DROMEX Category III chemical glove, Size 9 by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Workwear & PPE > Gloves, Workwear & PPE"
