product_slug,sku,name,Categories,categories_slug,category_slug,Brand,brand_slug_origenal,Image,URL,Attributes_origenal,attributes,Price,Regular,Price.1,Sale,Price.2,type,images,variant,description,short_description,stock,brand_slug
10,55M-Y-8,Dromex Seamless Liner TaeKi5 Seamless Heat & Cut Gloves,,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""8""}",,,,,,,/04/1.png,,TaeKi5 seamless Heat & Cut gloves by Dromex.,Seamless TaeKi5 glove liner offering heat and cut resistance for demanding handling tasks.,10,dromex
10,55M-Y-9,Dromex Seamless Liner TaeKi5 Seamless Heat & Cut Gloves,,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""9""}",,,,,,,/04/1.png,,TaeKi5 seamless Heat & Cut gloves by Dromex.,Seamless TaeKi5 glove liner offering heat and cut resistance for demanding handling tasks.,10,dromex
10,55M-Y-10,Dromex Seamless Liner TaeKi5 Seamless Heat & Cut Gloves,,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""10""}",,,,,,,/04/1.png,,TaeKi5 seamless Heat & Cut gloves by Dromex.,Seamless TaeKi5 glove liner offering heat and cut resistance for demanding handling tasks.,10,dromex
11,59YSP-8,Dromex Seamless Liner TaeKi5 Super Latex Grip & Cut Resistant Glove,,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""8""}",,,,,,,/02/imgi_48_59YSP_HR-768x768-1-450x450-9.jpg,,"The Dromex Seamless Liner TaeKi5 Super Latex Grip & Cut Resistant Glove features a crinkle latex palm coating bonded to a seamless knitted liner for enhanced grip and cut resistance. Its snug, dexterous fit allows for precise handling of tools and materials in demanding environments. Suitable for construction, engineering and general industrial tasks where reliable grip and cut protection are required.",TaeKi5 glove with crinkle latex palm coating for enhanced grip and cut resistance.,10,dromex
11,59YSP-9,Dromex Seamless Liner TaeKi5 Super Latex Grip & Cut Resistant Glove,,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""9""}",,,,,,,/04/1.png,,"The Dromex Seamless Liner TaeKi5 Super Latex Grip & Cut Resistant Glove features a crinkle latex palm coating bonded to a seamless knitted liner for enhanced grip and cut resistance. Its snug, dexterous fit allows for precise handling of tools and materials in demanding environments. Suitable for construction, engineering and general industrial tasks where reliable grip and cut protection are required.",TaeKi5 glove with crinkle latex palm coating for enhanced grip and cut resistance.,10,dromex
11,59YSP-10,Dromex Seamless Liner TaeKi5 Super Latex Grip & Cut Resistant Glove,,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""10""}",,,,,,,/04/1.png,,"The Dromex Seamless Liner TaeKi5 Super Latex Grip & Cut Resistant Glove features a crinkle latex palm coating bonded to a seamless knitted liner for enhanced grip and cut resistance. Its snug, dexterous fit allows for precise handling of tools and materials in demanding environments. Suitable for construction, engineering and general industrial tasks where reliable grip and cut protection are required.",TaeKi5 glove with crinkle latex palm coating for enhanced grip and cut resistance.,10,dromex
11,59YSP-11,Dromex Seamless Liner TaeKi5 Super Latex Grip & Cut Resistant Glove,,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""11""}",,,,,,,/04/1.png,,"The Dromex Seamless Liner TaeKi5 Super Latex Grip & Cut Resistant Glove features a crinkle latex palm coating bonded to a seamless knitted liner for enhanced grip and cut resistance. Its snug, dexterous fit allows for precise handling of tools and materials in demanding environments. Suitable for construction, engineering and general industrial tasks where reliable grip and cut protection are required.",TaeKi5 glove with crinkle latex palm coating for enhanced grip and cut resistance.,10,dromex
12,58SC-9,"Dromex Safet Cut Taeki5 Hi Viz Nitrile Coated, Safety Cuff Glove",,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""9""}",,,,,,,/02/58SC-9-4.jpg,,"The Dromex Safety Cuff TaeKi5 Hi-Viz Nitrile Coated Glove combines a durable nitrile palm coating with a hi-visibility shell for improved workplace safety. The reinforced safety cuff offers secure wrist protection during demanding handling tasks. Suitable for construction, warehousing and general industrial environments where both grip and visibility are important.",TaeKi5 hi-viz glove with nitrile coating and safety cuff for visible hand protection.,10,dromex
12,58SC-10,"Dromex Safet Cut Taeki5 Hi Viz Nitrile Coated, Safety Cuff Glove",,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""10""}",,,,,,,/04/1.png,,"The Dromex Safety Cuff TaeKi5 Hi-Viz Nitrile Coated Glove combines a durable nitrile palm coating with a hi-visibility shell for improved workplace safety. The reinforced safety cuff offers secure wrist protection during demanding handling tasks. Suitable for construction, warehousing and general industrial environments where both grip and visibility are important.",TaeKi5 hi-viz glove with nitrile coating and safety cuff for visible hand protection.,10,dromex
13,57H201B-10,"Dromex Safety Cuff TaeKi5 Rough Coated Nitrile, Safety Cuff",,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""10""}",,,,,,,/02/imgi_6_57H201B_HR-1-768x1152-1-450x450-3.jpg,,"The Dromex Safety Cuff TaeKi5 Rough Coated Nitrile Glove features a rough-textured nitrile palm coating for enhanced grip in wet or oily conditions. Its reinforced safety cuff provides secure wrist protection during general handling tasks. Suitable for construction, warehousing and industrial environments requiring reliable, durable grip.",TaeKi5 glove with rough nitrile coating and safety cuff for reliable grip and protection.,10,dromex
14,57H201PLUS-8,"Dromex TaeKi5 Heat & Cut, Glove with HCT",,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""8""}",,,,,,,/02/imgi_28_57H201PLUS_HR-768x768-1-300x300-10.jpg,,"The Dromex TaeKi5 Heat & Cut Glove with HCT combines heat, cut and chemical resistance in a single seamless glove for demanding industrial tasks. Its TaeKi5 liner construction provides a comfortable, flexible fit without compromising on protection. Suitable for metalworking, chemical handling and other environments where multiple hazards are present.","TaeKi5 glove combining heat, cut and chemical resistance for demanding industrial tasks.",10,dromex
14,57H201PLUS-9,"Dromex TaeKi5 Heat & Cut, Glove with HCT",,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""9""}",,,,,,,/04/1.png,,"The Dromex TaeKi5 Heat & Cut Glove with HCT combines heat, cut and chemical resistance in a single seamless glove for demanding industrial tasks. Its TaeKi5 liner construction provides a comfortable, flexible fit without compromising on protection. Suitable for metalworking, chemical handling and other environments where multiple hazards are present.","TaeKi5 glove combining heat, cut and chemical resistance for demanding industrial tasks.",10,dromex
14,57H201PLUS-10,"Dromex TaeKi5 Heat & Cut, Glove with HCT",,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""10""}",,,,,,,/04/1.png,,"The Dromex TaeKi5 Heat & Cut Glove with HCT combines heat, cut and chemical resistance in a single seamless glove for demanding industrial tasks. Its TaeKi5 liner construction provides a comfortable, flexible fit without compromising on protection. Suitable for metalworking, chemical handling and other environments where multiple hazards are present.","TaeKi5 glove combining heat, cut and chemical resistance for demanding industrial tasks.",10,dromex
15,#57-7,Dromex with TaeKi5 Nitrile Palm Coated on,,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""7""}",,,,,,,/02/imgi_94_57-450x450-13.png,,"The Dromex TaeKi5 Nitrile Palm Coated Glove features a durable nitrile coating on a seamless TaeKi5 liner for reliable grip in general handling tasks. Its flexible construction allows for comfortable wear throughout the working day. Suitable for warehousing, construction and general industrial applications requiring dependable hand protection.",TaeKi5 glove with nitrile palm coating for durable grip in general handling tasks.,10,dromex
15,#57-8,Dromex with TaeKi5 Nitrile Palm Coated on,,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""8""}",,,,,,,/04/1.png,,"The Dromex TaeKi5 Nitrile Palm Coated Glove features a durable nitrile coating on a seamless TaeKi5 liner for reliable grip in general handling tasks. Its flexible construction allows for comfortable wear throughout the working day. Suitable for warehousing, construction and general industrial applications requiring dependable hand protection.",TaeKi5 glove with nitrile palm coating for durable grip in general handling tasks.,10,dromex
15,#57-9,Dromex with TaeKi5 Nitrile Palm Coated on,,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""9""}",,,,,,,/04/1.png,,"The Dromex TaeKi5 Nitrile Palm Coated Glove features a durable nitrile coating on a seamless TaeKi5 liner for reliable grip in general handling tasks. Its flexible construction allows for comfortable wear throughout the working day. Suitable for warehousing, construction and general industrial applications requiring dependable hand protection.",TaeKi5 glove with nitrile palm coating for durable grip in general handling tasks.,10,dromex
15,#57-10,Dromex with TaeKi5 Nitrile Palm Coated on,,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""10""}",,,,,,,/04/1.png,,"The Dromex TaeKi5 Nitrile Palm Coated Glove features a durable nitrile coating on a seamless TaeKi5 liner for reliable grip in general handling tasks. Its flexible construction allows for comfortable wear throughout the working day. Suitable for warehousing, construction and general industrial applications requiring dependable hand protection.",TaeKi5 glove with nitrile palm coating for durable grip in general handling tasks.,10,dromex
15,#57-11,Dromex with TaeKi5 Nitrile Palm Coated on,,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""11""}",,,,,,,/04/1.png,,"The Dromex TaeKi5 Nitrile Palm Coated Glove features a durable nitrile coating on a seamless TaeKi5 liner for reliable grip in general handling tasks. Its flexible construction allows for comfortable wear throughout the working day. Suitable for warehousing, construction and general industrial applications requiring dependable hand protection.",TaeKi5 glove with nitrile palm coating for durable grip in general handling tasks.,10,dromex
15,#57-12,Dromex with TaeKi5 Nitrile Palm Coated on,,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""12""}",,,,,,,/04/1.png,,"The Dromex TaeKi5 Nitrile Palm Coated Glove features a durable nitrile coating on a seamless TaeKi5 liner for reliable grip in general handling tasks. Its flexible construction allows for comfortable wear throughout the working day. Suitable for warehousing, construction and general industrial applications requiring dependable hand protection.",TaeKi5 glove with nitrile palm coating for durable grip in general handling tasks.,10,dromex
16,52J-8-CAM,Dromex Camoflage TaeKi5,,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""8"",""Colour"":""Camo""}",,,,,,,/04/1.png,,"The Dromex Camouflage TaeKi5 Glove Liner offers durable general-purpose hand protection in a distinctive camouflage finish. Its seamless knitted construction provides a comfortable, flexible fit for extended wear. Suitable for general handling, outdoor work and industrial tasks requiring reliable everyday glove protection.",TaeKi5 glove liner in a camouflage finish for durable general-purpose hand protection.,10,dromex
16,52J-9-CAM,Dromex Camoflage TaeKi5,,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""9"",""Colour"":""Camo""}",,,,,,,/04/1.png,,"The Dromex Camouflage TaeKi5 Glove Liner offers durable general-purpose hand protection in a distinctive camouflage finish. Its seamless knitted construction provides a comfortable, flexible fit for extended wear. Suitable for general handling, outdoor work and industrial tasks requiring reliable everyday glove protection.",TaeKi5 glove liner in a camouflage finish for durable general-purpose hand protection.,10,dromex
16,52J-10-CAM,Dromex Camoflage TaeKi5,,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""10"",""Colour"":""Camo""}",,,,,,,/04/1.png,,"The Dromex Camouflage TaeKi5 Glove Liner offers durable general-purpose hand protection in a distinctive camouflage finish. Its seamless knitted construction provides a comfortable, flexible fit for extended wear. Suitable for general handling, outdoor work and industrial tasks requiring reliable everyday glove protection.",TaeKi5 glove liner in a camouflage finish for durable general-purpose hand protection.,10,dromex
16,52J-11-CAM,Dromex Camoflage TaeKi5,,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""11"",""Colour"":""Camo""}",,,,,,,/04/1.png,,"The Dromex Camouflage TaeKi5 Glove Liner offers durable general-purpose hand protection in a distinctive camouflage finish. Its seamless knitted construction provides a comfortable, flexible fit for extended wear. Suitable for general handling, outdoor work and industrial tasks requiring reliable everyday glove protection.",TaeKi5 glove liner in a camouflage finish for durable general-purpose hand protection.,10,dromex
17,52LSTPV-8,"Dromex TaeKi5 Heat & Cut, Impact Glove with HCT",,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""8""}",,,,,,,/04/1.png,,"The Dromex TaeKi5 Heat & Cut Impact Glove with HCT combines heat, cut and impact resistance in a single glove for demanding industrial handling. Its seamless TaeKi5 construction provides a comfortable, flexible fit while maintaining robust protection. Suitable for metalworking, construction and other environments where multiple hazards require combined protection.","TaeKi5 glove combining heat, cut and impact resistance for demanding industrial handling.",10,dromex
17,52LSTPV-9,"Dromex TaeKi5 Heat & Cut, Impact Glove with HCT",,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""9""}",,,,,,,/04/1.png,,"The Dromex TaeKi5 Heat & Cut Impact Glove with HCT combines heat, cut and impact resistance in a single glove for demanding industrial handling. Its seamless TaeKi5 construction provides a comfortable, flexible fit while maintaining robust protection. Suitable for metalworking, construction and other environments where multiple hazards require combined protection.","TaeKi5 glove combining heat, cut and impact resistance for demanding industrial handling.",10,dromex
17,52LSTPV-10,"Dromex TaeKi5 Heat & Cut, Impact Glove with HCT",,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""10""}",,,,,,,/04/1.png,,"The Dromex TaeKi5 Heat & Cut Impact Glove with HCT combines heat, cut and impact resistance in a single glove for demanding industrial handling. Its seamless TaeKi5 construction provides a comfortable, flexible fit while maintaining robust protection. Suitable for metalworking, construction and other environments where multiple hazards require combined protection.","TaeKi5 glove combining heat, cut and impact resistance for demanding industrial handling.",10,dromex
18,DG-HFM305-6,Dromex Nitrile Foam Coating Cut C HFM305 Cut Level C,,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""6""}",,,,,,,/02/imgi_87_dg-hfm-305-600x600-1-450x450-7.jpg,,"The Dromex Nitrile Foam Coating Cut C Glove (HFM305) features a nitrile foam palm coating rated to Cut Level C for reliable protection during general industrial handling. Its breathable, flexible construction ensures comfortable wear throughout the working day. Suitable for warehousing, assembly and general handling tasks requiring dependable cut protection.",Nitrile foam-coated glove offering Cut Level C protection for general industrial handling.,10,dromex
18,DG-HFM305-7,Dromex Nitrile Foam Coating Cut C HFM305 Cut Level C,,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""7""}",,,,,,,/04/1.png,,"The Dromex Nitrile Foam Coating Cut C Glove (HFM305) features a nitrile foam palm coating rated to Cut Level C for reliable protection during general industrial handling. Its breathable, flexible construction ensures comfortable wear throughout the working day. Suitable for warehousing, assembly and general handling tasks requiring dependable cut protection.",Nitrile foam-coated glove offering Cut Level C protection for general industrial handling.,10,dromex
18,DG-HFM305-8,Dromex Nitrile Foam Coating Cut C HFM305 Cut Level C,,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""8""}",,,,,,,/04/1.png,,"The Dromex Nitrile Foam Coating Cut C Glove (HFM305) features a nitrile foam palm coating rated to Cut Level C for reliable protection during general industrial handling. Its breathable, flexible construction ensures comfortable wear throughout the working day. Suitable for warehousing, assembly and general handling tasks requiring dependable cut protection.",Nitrile foam-coated glove offering Cut Level C protection for general industrial handling.,10,dromex
18,DG-HFM305-9,Dromex Nitrile Foam Coating Cut C HFM305 Cut Level C,,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""9""}",,,,,,,/04/1.png,,"The Dromex Nitrile Foam Coating Cut C Glove (HFM305) features a nitrile foam palm coating rated to Cut Level C for reliable protection during general industrial handling. Its breathable, flexible construction ensures comfortable wear throughout the working day. Suitable for warehousing, assembly and general handling tasks requiring dependable cut protection.",Nitrile foam-coated glove offering Cut Level C protection for general industrial handling.,10,dromex
18,DG-HFM305-10,Dromex Nitrile Foam Coating Cut C HFM305 Cut Level C,,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""10""}",,,,,,,/04/1.png,,"The Dromex Nitrile Foam Coating Cut C Glove (HFM305) features a nitrile foam palm coating rated to Cut Level C for reliable protection during general industrial handling. Its breathable, flexible construction ensures comfortable wear throughout the working day. Suitable for warehousing, assembly and general handling tasks requiring dependable cut protection.",Nitrile foam-coated glove offering Cut Level C protection for general industrial handling.,10,dromex
18,DG-HFM305-11,Dromex Nitrile Foam Coating Cut C HFM305 Cut Level C,,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""11""}",,,,,,,/04/1.png,,"The Dromex Nitrile Foam Coating Cut C Glove (HFM305) features a nitrile foam palm coating rated to Cut Level C for reliable protection during general industrial handling. Its breathable, flexible construction ensures comfortable wear throughout the working day. Suitable for warehousing, assembly and general handling tasks requiring dependable cut protection.",Nitrile foam-coated glove offering Cut Level C protection for general industrial handling.,10,dromex
19,DG-HFM606-7,"Dromex Superior Cut Glove, Anti Cut Level 6 - EN388 Cut Level F",,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""7""}",,,,,,,/04/1.png,,"The Dromex Superior Cut Glove is rated to EN388 Cut Level F, offering the highest level of cut resistance for high-risk handling applications. Its durable construction is designed to withstand demanding industrial conditions while maintaining a comfortable fit. Suitable for glass handling, metalworking and other environments where maximum cut protection is essential.",Superior cut-resistant glove rated EN388 Level F for high-risk handling applications.,10,dromex
19,DG-HFM606-8,"Dromex Superior Cut Glove, Anti Cut Level 6 - EN388 Cut Level F",,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""8""}",,,,,,,/04/1.png,,"The Dromex Superior Cut Glove is rated to EN388 Cut Level F, offering the highest level of cut resistance for high-risk handling applications. Its durable construction is designed to withstand demanding industrial conditions while maintaining a comfortable fit. Suitable for glass handling, metalworking and other environments where maximum cut protection is essential.",Superior cut-resistant glove rated EN388 Level F for high-risk handling applications.,10,dromex
19,DG-HFM606-9,"Dromex Superior Cut Glove, Anti Cut Level 6 - EN388 Cut Level F",,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""9""}",,,,,,,/04/1.png,,"The Dromex Superior Cut Glove is rated to EN388 Cut Level F, offering the highest level of cut resistance for high-risk handling applications. Its durable construction is designed to withstand demanding industrial conditions while maintaining a comfortable fit. Suitable for glass handling, metalworking and other environments where maximum cut protection is essential.",Superior cut-resistant glove rated EN388 Level F for high-risk handling applications.,10,dromex
19,DG-HFM606-10,"Dromex Superior Cut Glove, Anti Cut Level 6 - EN388 Cut Level F",,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""10""}",,,,,,,/04/1.png,,"The Dromex Superior Cut Glove is rated to EN388 Cut Level F, offering the highest level of cut resistance for high-risk handling applications. Its durable construction is designed to withstand demanding industrial conditions while maintaining a comfortable fit. Suitable for glass handling, metalworking and other environments where maximum cut protection is essential.",Superior cut-resistant glove rated EN388 Level F for high-risk handling applications.,10,dromex
19,DG-HFM606-11,"Dromex Superior Cut Glove, Anti Cut Level 6 - EN388 Cut Level F",,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""11""}",,,,,,,/04/1.png,,"The Dromex Superior Cut Glove is rated to EN388 Cut Level F, offering the highest level of cut resistance for high-risk handling applications. Its durable construction is designed to withstand demanding industrial conditions while maintaining a comfortable fit. Suitable for glass handling, metalworking and other environments where maximum cut protection is essential.",Superior cut-resistant glove rated EN388 Level F for high-risk handling applications.,10,dromex
20,DG-OIL-TECH-10,"Dromex Oil-Tech Dura Grip Glove, Open Cuff",,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""10""}",,,,,,,/02/oiltech-768x768-1-2.jpg,,"The Dromex Oil-Tech Dura Grip Glove features a durable grip coating designed for handling oily and greasy materials, with an open cuff for easy on/off wear. Its robust construction provides reliable protection during demanding industrial tasks. Suitable for automotive, engineering and general maintenance environments involving oil and grease exposure.",Oil-Tech glove with durable grip coating and open cuff for oil and grease handling.,10,dromex
20,DG-OIL-TECH-11,"Dromex Oil-Tech Dura Grip Glove, Open Cuff",,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""11""}",,,,,,,/04/1.png,,"The Dromex Oil-Tech Dura Grip Glove features a durable grip coating designed for handling oily and greasy materials, with an open cuff for easy on/off wear. Its robust construction provides reliable protection during demanding industrial tasks. Suitable for automotive, engineering and general maintenance environments involving oil and grease exposure.",Oil-Tech glove with durable grip coating and open cuff for oil and grease handling.,10,dromex
21,DG-OILTECH-KW-8,Dromex Oil -Tech Dura Glove,,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""8""}",,,,,,,/02/oil-tech-knot-wrist-1.png,,"The Dromex Oil-Tech Dura Glove features a durable grip coating and knitted wrist for secure, comfortable protection when handling oily or greasy materials. Its flexible construction allows for confident handling of tools and components. Suitable for automotive workshops, engineering and maintenance environments.",Oil-Tech glove with durable grip coating and knitted wrist for oil and grease handling.,10,dromex
